2023-10-06 22:54:38,151 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:54:43,148 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:54:48,144 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:54:53,145 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:54:58,144 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:03,148 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:08,145 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:13,144 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:18,150 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:23,145 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
2023-10-06 22:55:28,144 - [Crafty] - INFO     - app.classes.shared.server - Getting players for server {'server_id': 1, 'created': datetime.datetime(2023, 10, 5, 15, 23, 12, 826130), 'server_uuid': '2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'server_name': 'mc-gj', 'path': '/crafty/servers/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'backup_path': '/crafty/backups/2bbf9bcf-ba8d-446f-8e73-ee7ade49e2ee', 'executable': 'vanilla-1.20.2.jar', 'log_path': './logs/latest.log', 'execution_command': 'java -Xms500M -Xmx500M -jar vanilla-1.20.2.jar nogui', 'auto_start': False, 'auto_start_delay': 10, 'crash_detection': False, 'stop_command': 'stop', 'executable_update_url': 'https://serverjars.com/api/fetchJar/vanilla/vanilla/1.20.2', 'server_ip': '127.0.0.1', 'server_port': 25565, 'logs_delete_after': 0, 'type': 'minecraft-java', 'show_status': True, 'created_by': 1, 'shutdown_timeout': 60, 'ignored_exits': '0'}
